x,y,z
560.0066,-560.0345,-5
561.1696,-560.0289,-5
562.3316,-560.0127,-5
563.4927,-559.9863,-5
564.653,-559.9498,-5
565.8123,-559.9037,-5
566.9708,-559.8483,-5
568.1285,-559.7839,-5
569.2853,-559.7109,-5
570.4415,-559.6295,-5
571.5969,-559.5402,-5
572.7516,-559.4432,-5
573.9056,-559.3389,-5
575.0589,-559.2275,-5
576.2117,-559.1095,-5
577.3638,-558.9852,-5
578.5154,-558.8548,-5
579.6665,-558.7187,-5
580.8171,-558.5773,-5
581.9671,-558.4309,-5
583.1168,-558.2798,-5
584.266,-558.1243,-5
585.4148,-557.9647,-5
586.5632,-557.8015,-5
587.7114,-557.6349,-5
588.8592,-557.4652,-5
590.0067,-557.2928,-5
591.154,-557.118,-5
592.301,-556.9412,-5
593.4479,-556.7626,-5
594.5946,-556.5826,-5
595.7412,-556.4016,-5
596.8876,-556.2198,-5
598.034,-556.0376,-5
599.1803,-555.8553,-5
600.3266,-555.6732,-5
601.4729,-555.4918,-5
602.6192,-555.3112,-5
603.7656,-555.1319,-5
604.9121,-554.9541,-5
606.0586,-554.7782,-5
607.2054,-554.6046,-5
608.3523,-554.4334,-5
609.4994,-554.2652,-5
610.6468,-554.1002,-5
611.7944,-553.9387,-5
612.9422,-553.7811,-5
614.0904,-553.6277,-5
615.239,-553.4788,-5
616.3879,-553.3348,-5
617.5372,-553.1959,-5
618.687,-553.0626,-5
619.8372,-552.9351,-5
620.9879,-552.8138,-5
622.1391,-552.699,-5
623.2908,-552.591,-5
624.4431,-552.4902,-5
625.5961,-552.3969,-5
626.7496,-552.3114,-5
627.9038,-552.234,-5
629.0587,-552.1652,-5
630.2143,-552.1051,-5
631.3706,-552.0542,-5
632.5277,-552.0127,-5
633.6856,-551.9811,-5
634.8443,-551.9596,-5
636.0039,-551.9485,-5
637.1643,-551.9482,-5
638.3257,-551.959,-5
639.488,-551.9813,-5
640.6513,-552.0154,-5
641.8155,-552.0615,-5
642.9808,-552.1201,-5
644.1471,-552.1908,-5
645.3141,-552.2721,-5
646.4819,-552.3623,-5
647.65,-552.4598,-5
648.8185,-552.5629,-5
649.9871,-552.6699,-5
651.1556,-552.7793,-5
652.3238,-552.8894,-5
653.4916,-552.9984,-5
654.6588,-553.1048,-5
655.8252,-553.2069,-5
656.9906,-553.303,-5
658.1548,-553.3916,-5
659.3178,-553.4708,-5
660.4792,-553.5391,-5
661.6389,-553.5949,-5
662.7968,-553.6364,-5
663.9526,-553.662,-5
665.1062,-553.6701,-5
666.2574,-553.659,-5
667.406,-553.627,-5
668.5519,-553.5726,-5
669.6948,-553.494,-5
670.8346,-553.3895,-5
671.9711,-553.2576,-5
673.1043,-553.0978,-5
674.2345,-552.912,-5
675.3621,-552.7028,-5
676.4875,-552.4725,-5
677.6112,-552.2235,-5
678.7335,-551.9583,-5
679.8547,-551.6792,-5
680.9754,-551.3886,-5
682.0958,-551.089,-5
683.2164,-550.7827,-5
684.3375,-550.4722,-5
685.4596,-550.1599,-5
686.5831,-549.8481,-5
687.7083,-549.5393,-5
688.8357,-549.2359,-5
689.9655,-548.9403,-5
691.0983,-548.6549,-5
692.2344,-548.382,-5
693.3742,-548.1242,-5
694.5181,-547.8838,-5
695.6665,-547.6632,-5
696.8198,-547.4648,-5
697.9784,-547.2911,-5
699.1423,-547.1433,-5
700.3111,-547.0194,-5
701.4839,-546.9164,-5
702.6598,-546.8313,-5
703.8381,-546.7613,-5
705.0179,-546.7035,-5
706.1984,-546.6549,-5
707.3788,-546.6127,-5
708.5583,-546.5738,-5
709.7362,-546.5354,-5
710.9114,-546.4946,-5
712.0834,-546.4484,-5
713.2512,-546.394,-5
714.414,-546.3283,-5
715.571,-546.2486,-5
716.7215,-546.1518,-5
717.8645,-546.0351,-5
718.9993,-545.8955,-5
720.1251,-545.7302,-5
721.241,-545.5362,-5
722.3463,-545.3105,-5
723.44,-545.0503,-5
724.5215,-544.7527,-5
725.5899,-544.4147,-5
726.645,-544.0351,-5
727.6878,-543.6168,-5
728.7197,-543.163,-5
729.742,-542.6771,-5
730.756,-542.1625,-5
731.7629,-541.6225,-5
732.7641,-541.0604,-5
733.7609,-540.4797,-5
734.7546,-539.8837,-5
735.7465,-539.2757,-5
736.7379,-538.6591,-5
737.73,-538.0373,-5
738.7243,-537.4135,-5
739.722,-536.7912,-5
740.7243,-536.1737,-5
741.7327,-535.5644,-5
742.7484,-534.9666,-5
743.7727,-534.3837,-5
744.8069,-533.8189,-5
745.8523,-533.2758,-5
746.9102,-532.7576,-5
747.982,-532.2677,-5
749.0689,-531.8094,-5
750.1713,-531.3843,-5
751.2876,-530.9895,-5
752.4157,-530.6216,-5
753.5536,-530.2771,-5
754.6994,-529.9524,-5
755.851,-529.6441,-5
757.0063,-529.3487,-5
758.1634,-529.0627,-5
759.3202,-528.7825,-5
760.4748,-528.5048,-5
761.6251,-528.2259,-5
762.7692,-527.9424,-5
763.9049,-527.6509,-5
765.0303,-527.3477,-5
766.1433,-527.0295,-5
767.242,-526.6927,-5
768.3243,-526.3337,-5
769.3883,-525.9493,-5
770.4319,-525.5357,-5
771.453,-525.0896,-5
772.4497,-524.6075,-5
773.42,-524.0857,-5
774.3618,-523.521,-5
775.2743,-522.9115,-5
776.1586,-522.2591,-5
777.0162,-521.5662,-5
777.8488,-520.8351,-5
778.6576,-520.0681,-5
779.4444,-519.2675,-5
780.2105,-518.4357,-5
780.9575,-517.575,-5
781.6869,-516.6877,-5
782.4002,-515.7762,-5
783.0989,-514.8428,-5
783.7845,-513.8897,-5
784.4585,-512.9194,-5
785.1224,-511.9341,-5
785.7777,-510.9363,-5
786.426,-509.9281,-5
787.0686,-508.912,-5
787.7072,-507.8902,-5
788.3432,-506.8651,-5
788.9782,-505.839,-5
789.6136,-504.8143,-5
790.2509,-503.7933,-5
790.8917,-502.7782,-5
791.5375,-501.7715,-5
792.1897,-500.7754,-5
792.8499,-499.7923,-5
793.5194,-498.8242,-5
794.1984,-497.871,-5
794.8868,-496.9319,-5
795.5844,-496.0059,-5
796.2908,-495.0921,-5
797.006,-494.1895,-5
797.7297,-493.2974,-5
798.4616,-492.4146,-5
799.2016,-491.5403,-5
799.9495,-490.6736,-5
800.7051,-489.8136,-5
801.468,-488.9594,-5
802.2382,-488.1099,-5
803.0154,-487.2644,-5
803.7994,-486.4218,-5
804.59,-485.5813,-5
805.387,-484.7419,-5
806.1901,-483.9027,-5
