x,y,z
560,-560,-5
558.8063,-560.1341,-5
557.64,-560.2911,-5
556.501,-560.4705,-5
555.3887,-560.6722,-5
554.3028,-560.8956,-5
553.243,-561.1406,-5
552.2087,-561.4068,-5
551.1997,-561.6939,-5
550.2155,-562.0016,-5
549.2559,-562.3294,-5
548.3202,-562.6772,-5
547.4083,-563.0445,-5
546.5197,-563.4311,-5
545.654,-563.8366,-5
544.8109,-564.2608,-5
543.9899,-564.7032,-5
543.1906,-565.1635,-5
542.4127,-565.6415,-5
541.6559,-566.1368,-5
540.9196,-566.6491,-5
540.2035,-567.178,-5
539.5073,-567.7233,-5
538.8306,-568.2846,-5
538.1728,-568.8615,-5
537.5338,-569.4538,-5
536.9131,-570.0611,-5
536.3102,-570.6832,-5
535.7249,-571.3196,-5
535.1567,-571.9701,-5
534.6052,-572.6343,-5
534.0701,-573.3119,-5
533.551,-574.0026,-5
533.0475,-574.706,-5
532.5591,-575.4219,-5
532.0856,-576.1499,-5
531.6265,-576.8897,-5
531.1815,-577.6409,-5
530.7501,-578.4033,-5
530.332,-579.1764,-5
529.9267,-579.9601,-5
529.534,-580.7539,-5
529.1534,-581.5576,-5
528.7845,-582.3707,-5
528.4269,-583.1931,-5
528.0803,-584.0243,-5
527.7442,-584.864,-5
527.4184,-585.712,-5
527.1023,-586.5678,-5
526.7957,-587.4312,-5
526.4981,-588.3018,-5
526.2091,-589.1793,-5
525.9283,-590.0635,-5
525.6555,-590.9539,-5
525.3901,-591.8502,-5
525.1318,-592.7521,-5
524.8802,-593.6593,-5
524.6349,-594.5715,-5
524.3956,-595.4883,-5
524.1618,-596.4095,-5
523.9332,-597.3346,-5
523.7094,-598.2634,-5
523.4899,-599.1955,-5
523.2745,-600.1306,-5
523.0627,-601.0684,-5
522.8541,-602.0086,-5
522.6483,-602.9508,-5
522.4451,-603.8948,-5
522.2439,-604.8401,-5
522.0443,-605.7865,-5
521.8461,-606.7336,-5
521.6488,-607.6811,-5
521.4521,-608.6288,-5
521.2555,-609.5762,-5
521.0585,-610.523,-5
520.8607,-611.469,-5
520.6617,-612.4138,-5
520.4608,-613.3571,-5
520.2577,-614.2986,-5
520.0518,-615.238,-5
519.8427,-616.175,-5
519.6298,-617.1092,-5
519.4128,-618.0404,-5
519.191,-618.9682,-5
518.9641,-619.8924,-5
518.7315,-620.8125,-5
518.4928,-621.7283,-5
518.2474,-622.6395,-5
517.9949,-623.5458,-5
517.7348,-624.4468,-5
517.4666,-625.3423,-5
517.1899,-626.2318,-5
516.9041,-627.1152,-5
516.6087,-627.9921,-5
516.3033,-628.8622,-5
515.9875,-629.7252,-5
515.6606,-630.5807,-5
515.3222,-631.4285,-5
514.9719,-632.2682,-5
514.6091,-633.0995,-5
514.2334,-633.9221,-5
513.8443,-634.7357,-5
513.4412,-635.54,-5
513.0238,-636.3347,-5
512.5915,-637.1194,-5
512.1438,-637.8939,-5
511.6803,-638.6577,-5
511.2005,-639.4107,-5
510.7039,-640.1526,-5
