x,y,z
560.1398,-559.7449,-5
559.5453,-559.24,-5
558.9465,-558.743,-5
558.3433,-558.2537,-5
557.736,-557.772,-5
557.1244,-557.2978,-5
556.5088,-556.8308,-5
555.8892,-556.3711,-5
555.2657,-555.9184,-5
554.6383,-555.4726,-5
554.0071,-555.0336,-5
553.3722,-554.6013,-5
552.7336,-554.1754,-5
552.0914,-553.756,-5
551.4457,-553.3428,-5
550.7966,-552.9358,-5
550.1441,-552.5347,-5
549.4884,-552.1395,-5
548.8294,-551.7499,-5
548.1672,-551.366,-5
547.502,-550.9875,-5
546.8337,-550.6144,-5
546.1625,-550.2464,-5
545.4885,-549.8835,-5
544.8116,-549.5255,-5
544.132,-549.1723,-5
543.4498,-548.8237,-5
542.7649,-548.4796,-5
542.0776,-548.14,-5
541.3878,-547.8046,-5
540.6956,-547.4733,-5
540.0012,-547.1459,-5
539.3045,-546.8225,-5
538.6057,-546.5027,-5
537.9047,-546.1866,-5
537.2018,-545.8739,-5
536.4969,-545.5645,-5
535.7902,-545.2582,-5
535.0816,-544.9551,-5
534.3713,-544.6548,-5
533.6594,-544.3574,-5
532.9458,-544.0626,-5
532.2308,-543.7703,-5
531.5143,-543.4803,-5
530.7964,-543.1927,-5
530.0772,-542.9071,-5
529.3568,-542.6235,-5
528.6353,-542.3418,-5
527.9126,-542.0618,-5
527.1889,-541.7834,-5
526.4643,-541.5064,-5
525.7388,-541.2308,-5
525.0125,-540.9563,-5
524.2855,-540.6829,-5
523.5578,-540.4104,-5
522.8295,-540.1386,-5
522.1007,-539.8676,-5
521.3715,-539.597,-5
520.6419,-539.3268,-5
519.9119,-539.0569,-5
519.1818,-538.787,-5
518.4514,-538.5172,-5
517.721,-538.2472,-5
516.9906,-537.9769,-5
516.2602,-537.7062,-5
515.5299,-537.435,-5
514.7998,-537.1631,-5
514.07,-536.8903,-5
513.3406,-536.6166,-5
512.6115,-536.3418,-5
511.8829,-536.0658,-5
511.1549,-535.7884,-5
510.4274,-535.5096,-5
509.7007,-535.2291,-5
508.9747,-534.9469,-5
508.2496,-534.6628,-5
507.5254,-534.3767,-5
506.8021,-534.0884,-5
506.0799,-533.7978,-5
505.3588,-533.5048,-5
504.639,-533.2093,-5
503.9203,-532.911,-5
503.203,-532.61,-5
502.4871,-532.306,-5
501.7727,-531.9989,-5
501.0598,-531.6886,-5
500.3485,-531.375,-5
499.6387,-531.0583,-5
498.9305,-530.7385,-5
498.2237,-530.4156,-5
497.5183,-530.0899,-5
496.8143,-529.7613,-5
496.1116,-529.4299,-5
495.4103,-529.0959,-5
494.7102,-528.7593,-5
494.0114,-528.4201,-5
493.3138,-528.0786,-5
492.6173,-527.7347,-5
491.922,-527.3886,-5
491.2278,-527.0403,-5
490.5347,-526.6899,-5
489.8425,-526.3375,-5
489.1514,-525.9831,-5
488.4612,-525.627,-5
487.7719,-525.269,-5
487.0835,-524.9095,-5
486.396,-524.5483,-5
485.7092,-524.1856,-5
485.0232,-523.8215,-5
484.338,-523.4561,-5
483.6534,-523.0894,-5
482.9695,-522.7216,-5
482.2862,-522.3526,-5
481.6035,-521.9827,-5
480.9214,-521.6118,-5
480.2397,-521.2401,-5
479.5586,-520.8677,-5
478.8779,-520.4946,-5
478.1976,-520.1209,-5
477.5176,-519.7467,-5
476.838,-519.3721,-5
476.1587,-518.9972,-5
475.4796,-518.622,-5
474.8008,-518.2467,-5
474.1221,-517.8712,-5
473.4436,-517.4958,-5
472.7652,-517.1205,-5
472.0869,-516.7453,-5
471.4086,-516.3704,-5
470.7304,-515.9958,-5
470.052,-515.6216,-5
469.3737,-515.2479,-5
468.6952,-514.8749,-5
468.0165,-514.5025,-5
467.3377,-514.1308,-5
466.6587,-513.76,-5
465.9794,-513.3901,-5
465.2999,-513.0213,-5
464.62,-512.6535,-5
463.9397,-512.2868,-5
463.259,-511.9215,-5
462.578,-511.5575,-5
461.8964,-511.1949,-5
461.2143,-510.8338,-5
460.5317,-510.4743,-5
459.8485,-510.1164,-5
459.1647,-509.7604,-5
458.4802,-509.4061,-5
457.7951,-509.0538,-5
457.1092,-508.7034,-5
456.4227,-508.3548,-5
455.7356,-508.0079,-5
455.0478,-507.6625,-5
454.3594,-507.3186,-5
453.6705,-506.976,-5
452.9811,-506.6346,-5
452.2912,-506.2942,-5
451.6008,-505.9548,-5
450.91,-505.6162,-5
450.2187,-505.2783,-5
449.5271,-504.941,-5
448.8351,-504.6042,-5
448.1429,-504.2677,-5
447.4503,-503.9314,-5
446.7574,-503.5952,-5
446.0644,-503.259,-5
445.3711,-502.9227,-5
444.6776,-502.5861,-5
443.984,-502.2491,-5
443.2903,-501.9116,-5
442.5964,-501.5735,-5
441.9026,-501.2346,-5
441.2087,-500.8948,-5
440.5147,-500.5541,-5
439.8208,-500.2122,-5
439.127,-499.8691,-5
438.4333,-499.5246,-5
437.7396,-499.1787,-5
437.0461,-498.8312,-5
436.3528,-498.4819,-5
435.6597,-498.1308,-5
434.9668,-497.7777,-5
434.2741,-497.4226,-5
433.5817,-497.0652,-5
432.8897,-496.7055,-5
432.198,-496.3434,-5
431.5067,-495.9787,-5
430.8158,-495.6113,-5
430.1253,-495.2411,-5
429.4352,-494.8679,-5
428.7457,-494.4917,-5
428.0566,-494.1126,-5
427.3679,-493.731,-5
426.6795,-493.3473,-5
425.9913,-492.9618,-5
425.3033,-492.5751,-5
424.6153,-492.1875,-5
423.9274,-491.7994,-5
423.2393,-491.4112,-5
422.551,-491.0234,-5
421.8626,-490.6363,-5
421.1737,-490.2504,-5
420.4845,-489.866,-5
419.7948,-489.4835,-5
419.1045,-489.1034,-5
418.4135,-488.7261,-5
417.7218,-488.352,-5
417.0294,-487.9815,-5
416.336,-487.6149,-5
415.6416,-487.2527,-5
414.9462,-486.8954,-5
414.2497,-486.5433,-5
413.552,-486.1967,-5
412.853,-485.8562,-5
412.1526,-485.5222,-5
411.4507,-485.1949,-5
410.7474,-484.8749,-5
410.0424,-484.5626,-5
409.3358,-484.2583,-5
408.6273,-483.9625,-5
407.9171,-483.6755,-5
407.2049,-483.3979,-5
406.4907,-483.1299,-5
405.7744,-482.872,-5
405.056,-482.6246,-5
404.3353,-482.3881,-5
403.6123,-482.1629,-5
402.8869,-481.9494,-5
402.159,-481.7481,-5
401.4285,-481.5592,-5
400.6954,-481.3833,-5
399.9596,-481.2208,-5
399.221,-481.072,-5
398.4798,-480.9377,-5
397.7366,-480.8187,-5
396.9918,-480.7162,-5
396.2461,-480.6309,-5
395.4998,-480.5639,-5
394.7535,-480.5162,-5
394.0078,-480.4887,-5
393.2632,-480.4823,-5
392.5201,-480.498,-5
391.7791,-480.5368,-5
391.0407,-480.5997,-5
390.3054,-480.6875,-5
389.5738,-480.8013,-5
388.8464,-480.942,-5
388.1236,-481.1106,-5
387.4061,-481.308,-5
386.6942,-481.5352,-5
385.9886,-481.7932,-5
385.2898,-482.0828,-5
384.5975,-482.403,-5
383.9113,-482.7511,-5
383.2303,-483.1244,-5
382.5539,-483.52,-5
381.8815,-483.9352,-5
381.2123,-484.3671,-5
380.5457,-484.813,-5
379.8811,-485.2701,-5
379.2176,-485.7356,-5
378.5548,-486.2066,-5
377.8918,-486.6806,-5
377.228,-487.1545,-5
376.5627,-487.6257,-5
375.8952,-488.0913,-5
375.225,-488.5486,-5
374.5512,-488.9948,-5
373.8733,-489.4271,-5
373.1904,-489.8427,-5
372.5021,-490.2388,-5
371.8075,-490.6126,-5
371.106,-490.9613,-5
370.3971,-491.2824,-5
369.6805,-491.5756,-5
368.9568,-491.8426,-5
368.2264,-492.0851,-5
367.4898,-492.3049,-5
366.7474,-492.5037,-5
365.9996,-492.6832,-5
365.2469,-492.8452,-5
364.4897,-492.9914,-5
363.7285,-493.1235,-5
362.9637,-493.2433,-5
362.1957,-493.3525,-5
361.4251,-493.4528,-5
360.6522,-493.546,-5
359.8774,-493.6337,-5
359.1013,-493.7178,-5
358.3243,-493.7999,-5
