x,y,z
559.9992,-560.0008,-5
559.598,-561.4611,-5
559.2733,-562.8781,-5
559.0227,-564.2533,-5
558.844,-565.5879,-5
558.7349,-566.8834,-5
558.693,-568.141,-5
558.716,-569.3622,-5
558.8016,-570.5482,-5
558.9474,-571.7006,-5
559.1512,-572.8206,-5
559.4106,-573.9095,-5
559.7233,-574.9688,-5
560.087,-575.9997,-5
560.4993,-577.0037,-5
560.958,-577.9822,-5
561.4606,-578.9363,-5
562.005,-579.8676,-5
562.5887,-580.7774,-5
563.2095,-581.6671,-5
563.865,-582.5379,-5
564.553,-583.3913,-5
565.271,-584.2286,-5
566.0167,-585.0512,-5
566.788,-585.8604,-5
567.5823,-586.6575,-5
568.3974,-587.4441,-5
569.2311,-588.2213,-5
570.0808,-588.9906,-5
570.9445,-589.7533,-5
571.8196,-590.5108,-5
572.7039,-591.2644,-5
573.5952,-592.0156,-5
574.4909,-592.7655,-5
575.3889,-593.5157,-5
576.2868,-594.2675,-5
577.1824,-595.0222,-5
578.0731,-595.7811,-5
578.9569,-596.5457,-5
579.8312,-597.3173,-5
580.6939,-598.0973,-5
581.5425,-598.8869,-5
582.3762,-599.6869,-5
583.1954,-600.4967,-5
584.0013,-601.3158,-5
584.7946,-602.1436,-5
585.5763,-602.9796,-5
586.3473,-603.8231,-5
587.1084,-604.6736,-5
587.8605,-605.5306,-5
588.6046,-606.3935,-5
589.3415,-607.2618,-5
590.0722,-608.1348,-5
590.7975,-609.012,-5
591.5183,-609.8928,-5
592.2355,-610.7767,-5
592.9501,-611.6631,-5
593.6628,-612.5514,-5
594.3747,-613.4412,-5
595.0865,-614.3317,-5
595.7992,-615.2225,-5
596.5138,-616.113,-5
597.2306,-617.0028,-5
597.9495,-617.8921,-5
598.6704,-618.7809,-5
599.3929,-619.6694,-5
600.1168,-620.5577,-5
600.8418,-621.446,-5
601.5678,-622.3343,-5
602.2945,-623.2227,-5
603.0216,-624.1115,-5
603.749,-625.0007,-5
604.4762,-625.8904,-5
605.2032,-626.7809,-5
605.9297,-627.6721,-5
606.6554,-628.5642,-5
607.38,-629.4574,-5
608.1035,-630.3518,-5
608.8254,-631.2475,-5
609.5456,-632.1445,-5
610.2638,-633.0432,-5
610.9798,-633.9435,-5
611.6933,-634.8456,-5
612.4041,-635.7496,-5
613.112,-636.6557,-5
613.8166,-637.5639,-5
614.5179,-638.4744,-5
615.2154,-639.3874,-5
615.9091,-640.3028,-5
616.5986,-641.221,-5
617.2837,-642.1419,-5
617.9641,-643.0658,-5
618.6396,-643.9927,-5
619.3101,-644.9227,-5
619.9751,-645.8561,-5
620.6346,-646.7929,-5
621.2881,-647.7332,-5
621.9356,-648.6771,-5
622.5768,-649.6249,-5
623.2113,-650.5765,-5
623.8391,-651.5322,-5
624.4598,-652.492,-5
625.0734,-653.456,-5
625.68,-654.424,-5
626.2794,-655.3961,-5
626.8718,-656.3722,-5
627.4571,-657.3522,-5
628.0353,-658.3361,-5
628.6064,-659.3239,-5
629.1704,-660.3155,-5
629.7273,-661.3109,-5
630.2771,-662.31,-5
630.8198,-663.3128,-5
631.3554,-664.3192,-5
631.8839,-665.3293,-5
632.4053,-666.3429,-5
632.9195,-667.36,-5
633.4267,-668.3806,-5
633.9267,-669.4046,-5
634.4197,-670.432,-5
634.9055,-671.4627,-5
635.3841,-672.4967,-5
635.8557,-673.534,-5
636.3201,-674.5745,-5
636.7774,-675.6182,-5
637.2276,-676.6649,-5
637.6706,-677.7148,-5
638.1065,-678.7676,-5
638.5353,-679.8235,-5
638.9569,-680.8823,-5
639.3714,-681.944,-5
639.7787,-683.0086,-5
640.1789,-684.076,-5
640.572,-685.1462,-5
640.9578,-686.219,-5
641.3366,-687.2946,-5
641.7082,-688.3728,-5
642.0726,-689.4536,-5
642.4299,-690.537,-5
642.78,-691.6228,-5
643.1229,-692.7111,-5
643.4589,-693.8019,-5
643.788,-694.8949,-5
644.1102,-695.9903,-5
644.4258,-697.0879,-5
644.7349,-698.1877,-5
645.0375,-699.2896,-5
645.3337,-700.3935,-5
645.6238,-701.4995,-5
645.9078,-702.6074,-5
646.1858,-703.7172,-5
646.458,-704.8288,-5
646.7244,-705.9422,-5
646.9852,-707.0574,-5
647.2405,-708.1742,-5
647.4905,-709.2925,-5
647.7351,-710.4125,-5
647.9746,-711.5339,-5
648.2091,-712.6568,-5
648.4386,-713.781,-5
648.6633,-714.9066,-5
648.8834,-716.0334,-5
649.0989,-717.1615,-5
649.3099,-718.2906,-5
649.5166,-719.4209,-5
649.719,-720.5522,-5
649.9174,-721.6845,-5
650.1118,-722.8177,-5
650.3023,-723.9518,-5
650.4891,-725.0867,-5
650.6722,-726.2223,-5
650.8518,-727.3586,-5
651.028,-728.4955,-5
651.2009,-729.6331,-5
651.3706,-730.7711,-5
651.5373,-731.9096,-5
651.701,-733.0485,-5
651.862,-734.1878,-5
652.0202,-735.3274,-5
652.1759,-736.4672,-5
652.3293,-737.6071,-5
652.4809,-738.7471,-5
652.6311,-739.8871,-5
652.7802,-741.027,-5
652.9285,-742.1668,-5
653.0765,-743.3062,-5
653.2246,-744.4454,-5
653.3731,-745.5841,-5
653.5224,-746.7223,-5
653.6729,-747.8599,-5
653.825,-748.9968,-5
653.979,-750.133,-5
