x,y,z
559.9959,-560.0008,-5
559.7732,-558.9676,-5
559.5816,-557.9182,-5
559.4188,-556.8537,-5
559.2821,-555.7753,-5
559.1691,-554.6841,-5
559.0773,-553.5812,-5
559.0042,-552.4677,-5
558.9474,-551.3448,-5
558.9043,-550.2136,-5
558.8724,-549.0752,-5
558.8493,-547.9308,-5
558.8325,-546.7814,-5
558.8195,-545.6283,-5
558.8078,-544.4725,-5
558.7948,-543.3151,-5
558.7782,-542.1573,-5
558.7555,-541.0003,-5
558.724,-539.8451,-5
558.6814,-538.6929,-5
558.6252,-537.5448,-5
558.5529,-536.4019,-5
558.4619,-535.2654,-5
558.3499,-534.1364,-5
558.2142,-533.0159,-5
558.0525,-531.9053,-5
557.8622,-530.8055,-5
557.6409,-529.7177,-5
557.386,-528.643,-5
557.0951,-527.5826,-5
556.7656,-526.5376,-5
556.3952,-525.5091,-5
555.982,-524.498,-5
555.5282,-523.5032,-5
555.0375,-522.5233,-5
554.5133,-521.5568,-5
553.9592,-520.6022,-5
553.3786,-519.658,-5
552.7752,-518.7227,-5
552.1524,-517.7949,-5
551.5138,-516.873,-5
550.8628,-515.9555,-5
550.2031,-515.0409,-5
549.5382,-514.1278,-5
548.8715,-513.2146,-5
548.2066,-512.2999,-5
547.547,-511.3821,-5
546.8948,-510.4605,-5
546.25,-509.535,-5
545.6121,-508.6059,-5
544.9807,-507.6735,-5
544.3556,-506.7379,-5
543.7365,-505.7994,-5
543.1228,-504.8581,-5
542.5143,-503.9143,-5
541.9107,-502.9682,-5
541.3116,-502.02,-5
540.7167,-501.0699,-5
540.1255,-500.1181,-5
539.5377,-499.1648,-5
538.9531,-498.2103,-5
538.3712,-497.2548,-5
537.7917,-496.2984,-5
537.2143,-495.3414,-5
536.6385,-494.384,-5
536.0641,-493.4263,-5
535.4907,-492.4687,-5
534.918,-491.5114,-5
534.3455,-490.5544,-5
533.773,-489.5981,-5
533.2001,-488.6427,-5
532.6264,-487.6883,-5
532.0517,-486.7352,-5
531.4754,-485.7837,-5
530.8974,-484.8338,-5
530.3173,-483.8858,-5
529.7346,-482.9399,-5
529.1493,-481.9962,-5
528.561,-481.0548,-5
527.9696,-480.1156,-5
527.3749,-479.1786,-5
526.7766,-478.2441,-5
526.1746,-477.3119,-5
525.5686,-476.3822,-5
524.9584,-475.4549,-5
524.3439,-474.5302,-5
523.7247,-473.6081,-5
523.1008,-472.6886,-5
522.4718,-471.7717,-5
521.8376,-470.8576,-5
521.1979,-469.9462,-5
520.5526,-469.0376,-5
519.9015,-468.1318,-5
519.2443,-467.229,-5
518.5808,-466.3291,-5
517.9108,-465.4321,-5
517.2341,-464.5382,-5
516.5506,-463.6473,-5
515.8599,-462.7596,-5
515.1618,-461.875,-5
514.4563,-460.9936,-5
513.743,-460.1155,-5
513.0217,-459.2407,-5
512.2923,-458.3692,-5
511.5545,-457.501,-5
510.8082,-456.6363,-5
510.0555,-455.7741,-5
509.3013,-454.9124,-5
508.5504,-454.0493,-5
507.8077,-453.1828,-5
507.078,-452.311,-5
506.3662,-451.4318,-5
505.6772,-450.5433,-5
505.0159,-449.6435,-5
504.3872,-448.7304,-5
503.7958,-447.8021,-5
503.2468,-446.8565,-5
502.7449,-445.8917,-5
502.2951,-444.9058,-5
501.9022,-443.8967,-5
501.5701,-442.8628,-5
501.2948,-441.8058,-5
501.0685,-440.7289,-5
500.8831,-439.6352,-5
500.731,-438.5279,-5
500.6041,-437.4102,-5
500.4946,-436.2853,-5
500.3947,-435.1564,-5
500.2963,-434.0265,-5
500.1917,-432.899,-5
500.0729,-431.777,-5
499.9322,-430.6637,-5
499.7615,-429.5622,-5
499.5529,-428.4757,-5
499.2988,-427.4075,-5
498.9912,-426.3606,-5
498.6275,-425.3358,-5
498.2099,-424.3314,-5
497.7407,-423.3459,-5
497.2223,-422.3775,-5
496.6573,-421.4246,-5
496.0479,-420.4854,-5
495.3967,-419.5584,-5
494.706,-418.6417,-5
493.9782,-417.7338,-5
493.2157,-416.8329,-5
492.421,-415.9374,-5
491.5965,-415.0456,-5
490.7445,-414.1558,-5
489.8675,-413.2663,-5
488.9688,-412.3756,-5
488.0577,-411.4839,-5
487.1463,-410.5915,-5
486.2464,-409.6993,-5
485.3701,-408.8077,-5
484.5294,-407.9174,-5
483.7362,-407.0291,-5
483.0025,-406.1433,-5
482.3402,-405.2606,-5
481.7615,-404.3817,-5
481.2782,-403.5072,-5
480.9023,-402.6377,-5
480.6458,-401.7738,-5
480.5206,-400.9161,-5
480.5388,-400.0652,-5
480.7077,-399.2215,-5
481.0166,-398.384,-5
481.4506,-397.5515,-5
481.9949,-396.7227,-5
482.6345,-395.8964,-5
483.3546,-395.0714,-5
484.1403,-394.2464,-5
484.9768,-393.4202,-5
485.849,-392.5916,-5
486.7422,-391.7594,-5
487.6414,-390.9223,-5
488.5318,-390.079,-5
489.3987,-389.2285,-5
490.2341,-388.3701,-5
491.0404,-387.5048,-5
491.8202,-386.6333,-5
492.5765,-385.7564,-5
493.312,-384.875,-5
494.0296,-383.9898,-5
494.7322,-383.1017,-5
495.4226,-382.2114,-5
496.1036,-381.3199,-5
496.778,-380.4278,-5
497.4487,-379.5361,-5
498.1186,-378.6456,-5
498.7902,-377.7568,-5
499.4639,-376.8701,-5
500.1397,-375.9851,-5
500.8174,-375.1018,-5
501.4968,-374.22,-5
502.1778,-373.3397,-5
502.8603,-372.4606,-5
503.544,-371.5826,-5
504.2289,-370.7057,-5
504.9147,-369.8295,-5
505.6014,-368.9541,-5
506.2887,-368.0793,-5
506.9766,-367.205,-5
507.6647,-366.3309,-5
508.3531,-365.4571,-5
509.0416,-364.5832,-5
509.7299,-363.7093,-5
510.418,-362.8352,-5
511.1056,-361.9607,-5
511.7927,-361.0857,-5
512.4791,-360.21,-5
513.1645,-359.3336,-5
513.849,-358.4563,-5
514.5322,-357.5779,-5
515.2142,-356.6983,-5
515.8946,-355.8175,-5
516.5734,-354.9352,-5
517.2503,-354.0513,-5
517.9253,-353.1656,-5
518.5982,-352.2782,-5
519.2689,-351.3887,-5
519.9371,-350.4971,-5
520.6027,-349.6032,-5
521.2656,-348.7069,-5
521.9256,-347.8081,-5
522.5826,-346.9066,-5
523.2364,-346.0023,-5
523.8868,-345.0951,-5
524.5337,-344.1848,-5
525.177,-343.2713,-5
525.8165,-342.3544,-5
526.452,-341.434,-5
527.0834,-340.51,-5
527.7105,-339.5823,-5
528.3332,-338.6506,-5
528.9513,-337.7149,-5
529.5646,-336.7751,-5
530.1731,-335.8309,-5
530.7765,-334.8823,-5
531.3748,-333.9292,-5
531.9672,-332.9712,-5
532.5511,-332.0078,-5
533.1231,-331.038,-5
533.6797,-330.0611,-5
534.2174,-329.0762,-5
534.7329,-328.0825,-5
535.2227,-327.0791,-5
535.6833,-326.0653,-5
536.1114,-325.0402,-5
536.5035,-324.0029,-5
536.8561,-322.9526,-5
537.1659,-321.8886,-5
537.4296,-320.8099,-5
537.6488,-319.7176,-5
537.8312,-318.6143,-5
537.9846,-317.503,-5
538.1168,-316.3865,-5
538.2357,-315.2677,-5
538.3491,-314.1496,-5
538.4649,-313.0349,-5
538.5908,-311.9266,-5
538.7348,-310.8276,-5
538.9048,-309.7407,-5
539.1085,-308.6688,-5
539.3537,-307.6149,-5
539.6485,-306.5817,-5
539.9997,-305.5719,-5
540.4063,-304.5846,-5
540.8623,-303.6168,-5
541.362,-302.6656,-5
541.8992,-301.7281,-5
542.468,-300.8013,-5
543.0625,-299.8823,-5
543.6768,-298.9683,-5
544.3048,-298.0561,-5
544.9406,-297.143,-5
545.5782,-296.226,-5
546.2118,-295.3021,-5
546.8354,-294.3684,-5
547.4457,-293.4233,-5
548.0445,-292.4674,-5
548.6341,-291.5018,-5
549.2171,-290.5274,-5
549.7956,-289.5452,-5
550.3721,-288.5561,-5
550.9489,-287.5612,-5
551.5283,-286.5614,-5
552.1129,-285.5576,-5
552.7048,-284.5509,-5
553.3064,-283.5422,-5
553.9202,-282.5325,-5
554.5474,-281.5228,-5
555.1811,-280.5137,-5
555.8108,-279.5061,-5
556.4256,-278.5006,-5
557.0149,-277.498,-5
557.5681,-276.4989,-5
558.0745,-275.504,-5
558.5235,-274.514,-5
558.9042,-273.5296,-5
559.2061,-272.5516,-5
559.4185,-271.5806,-5
559.5307,-270.6174,-5
559.5322,-269.6625,-5
559.42,-268.7162,-5
559.202,-267.7773,-5
558.8874,-266.845,-5
558.485,-265.9181,-5
558.004,-264.9958,-5
557.4533,-264.0769,-5
556.8419,-263.1605,-5
556.1789,-262.2455,-5
555.4732,-261.331,-5
554.7337,-260.4159,-5
553.9696,-259.4992,-5
553.1899,-258.5799,-5
552.4034,-257.657,-5
551.6193,-256.7295,-5
550.8464,-255.7963,-5
550.094,-254.8565,-5
549.3708,-253.9091,-5
548.6821,-252.9535,-5
548.0262,-251.9903,-5
547.4005,-251.0201,-5
546.8025,-250.0434,-5
546.2295,-249.061,-5
545.679,-248.0735,-5
545.1485,-247.0813,-5
544.6354,-246.0853,-5
544.1371,-245.0859,-5
543.651,-244.0839,-5
543.1746,-243.0797,-5
542.7053,-242.0741,-5
542.2406,-241.0677,-5
541.7779,-240.061,-5
541.3147,-239.0547,-5
540.8482,-238.0495,-5
540.3762,-237.0458,-5
539.8973,-236.044,-5
539.4122,-235.0439,-5
538.9214,-234.0453,-5
538.4258,-233.048,-5
537.9258,-232.0518,-5
537.4222,-231.0564,-5
536.9157,-230.0618,-5
536.4068,-229.0676,-5
535.8964,-228.0736,-5
535.3849,-227.0798,-5
534.8731,-226.0858,-5
534.3616,-225.0914,-5
533.8511,-224.0965,-5
533.3422,-223.1009,-5
532.8357,-222.1043,-5
532.3321,-221.1066,-5
531.8321,-220.1075,-5
531.336,-219.1069,-5
530.844,-218.1049,-5
530.3561,-217.1013,-5
529.8723,-216.0961,-5
529.3929,-215.0894,-5
528.9178,-214.081,-5
528.4472,-213.0709,-5
527.9812,-212.0591,-5
527.5199,-211.0455,-5
527.0633,-210.0302,-5
526.6116,-209.013,-5
526.1649,-207.9939,-5
525.7231,-206.9729,-5
525.2866,-205.95,-5
524.8552,-204.9251,-5
524.4292,-203.8982,-5
524.0085,-202.8692,-5
523.5934,-201.8381,-5
523.1839,-200.8049,-5
522.7801,-199.7695,-5
522.3821,-198.732,-5
521.9899,-197.6921,-5
521.6037,-196.65,-5
521.2236,-195.6056,-5
520.8497,-194.5588,-5
520.482,-193.5096,-5
520.1207,-192.458,-5
519.7658,-191.4039,-5
519.4174,-190.3473,-5
519.0756,-189.2881,-5
518.7406,-188.2264,-5
518.4124,-187.162,-5
518.0911,-186.095,-5
517.7768,-185.0253,-5
517.4691,-183.953,-5
517.1677,-182.8783,-5
516.8722,-181.8014,-5
516.5823,-180.7222,-5
516.2974,-179.6411,-5
516.0173,-178.5581,-5
515.7416,-177.4735,-5
515.4698,-176.3872,-5
515.2016,-175.2995,-5
514.9366,-174.2106,-5
514.6744,-173.1205,-5
514.4147,-172.0294,-5
514.1569,-170.9375,-5
513.9009,-169.8449,-5
513.6461,-168.7518,-5
513.3922,-167.6582,-5
513.1388,-166.5643,-5
512.8854,-165.4703,-5
512.6319,-164.3764,-5
512.3776,-163.2826,-5
512.1223,-162.1891,-5
511.8656,-161.0961,-5
511.607,-160.0037,-5
511.3463,-158.912,-5
511.0829,-157.8212,-5
510.8166,-156.7314,-5
510.5469,-155.6428,-5
510.2734,-154.5555,-5
509.9958,-153.4697,-5
509.7137,-152.3855,-5
509.4267,-151.303,-5
509.1343,-150.2225,-5
508.8363,-149.1439,-5
508.5323,-148.0676,-5
508.2223,-146.9934,-5
507.9063,-145.9214,-5
507.5842,-144.8517,-5
507.2562,-143.7843,-5
506.9223,-142.7192,-5
506.5824,-141.6564,-5
506.2366,-140.5959,-5
505.8849,-139.5378,-5
505.5273,-138.4821,-5
505.1639,-137.4288,-5
