x,y,z
560.018,-559.9361,-5
560.946,-559.8933,-5
561.8748,-559.8493,-5
562.8042,-559.8041,-5
563.7344,-559.7578,-5
564.6652,-559.7103,-5
565.5967,-559.6618,-5
566.5289,-559.6123,-5
567.4616,-559.5617,-5
568.395,-559.5101,-5
569.329,-559.4576,-5
570.2636,-559.4041,-5
571.1987,-559.3498,-5
572.1344,-559.2946,-5
573.0706,-559.2386,-5
574.0074,-559.1819,-5
574.9446,-559.1243,-5
575.8824,-559.0661,-5
576.8206,-559.0071,-5
577.7593,-558.9475,-5
578.6984,-558.8873,-5
579.638,-558.8265,-5
580.578,-558.7651,-5
581.5183,-558.7032,-5
582.4591,-558.6408,-5
583.4003,-558.578,-5
584.3418,-558.5147,-5
585.2836,-558.451,-5
586.2258,-558.387,-5
587.1683,-558.3227,-5
588.111,-558.258,-5
589.0541,-558.1931,-5
589.9974,-558.128,-5
590.941,-558.0626,-5
591.8848,-557.9971,-5
592.8288,-557.9315,-5
593.773,-557.8658,-5
594.7175,-557.8,-5
595.662,-557.7342,-5
596.6068,-557.6684,-5
597.5517,-557.6026,-5
598.4967,-557.5369,-5
599.4419,-557.4713,-5
600.3871,-557.4058,-5
601.3324,-557.3404,-5
602.2778,-557.2753,-5
603.2232,-557.2104,-5
604.1687,-557.1458,-5
605.1142,-557.0815,-5
606.0597,-557.0175,-5
607.0052,-556.9538,-5
607.9507,-556.8906,-5
608.8962,-556.8278,-5
609.8415,-556.7654,-5
610.7869,-556.7035,-5
611.7321,-556.6422,-5
612.6772,-556.5814,-5
613.6222,-556.5212,-5
614.5671,-556.4617,-5
615.5119,-556.4028,-5
616.4565,-556.3445,-5
617.4009,-556.2871,-5
618.3451,-556.2303,-5
619.2891,-556.1744,-5
620.2329,-556.1192,-5
621.1765,-556.065,-5
622.1198,-556.0116,-5
623.0629,-555.9591,-5
624.0056,-555.9076,-5
624.9481,-555.8571,-5
625.8903,-555.8076,-5
626.8321,-555.7591,-5
627.7736,-555.7118,-5
628.7147,-555.6655,-5
629.6555,-555.6204,-5
630.5959,-555.5765,-5
631.5358,-555.5338,-5
632.4754,-555.4923,-5
633.4145,-555.4521,-5
634.3532,-555.4133,-5
635.2914,-555.3758,-5
636.2292,-555.3396,-5
637.1664,-555.3049,-5
638.1031,-555.2716,-5
639.0394,-555.2398,-5
639.975,-555.2095,-5
640.9101,-555.1808,-5
641.8447,-555.1536,-5
642.7787,-555.1281,-5
643.712,-555.1041,-5
644.6448,-555.0819,-5
645.577,-555.0613,-5
646.5086,-555.0423,-5
647.4398,-555.0249,-5
648.3705,-555.0091,-5
649.3008,-554.9949,-5
650.2308,-554.9822,-5
651.1604,-554.971,-5
652.0897,-554.9612,-5
653.0188,-554.953,-5
653.9477,-554.9461,-5
654.8764,-554.9407,-5
655.805,-554.9366,-5
656.7335,-554.9339,-5
657.662,-554.9325,-5
658.5905,-554.9325,-5
659.519,-554.9337,-5
660.4476,-554.9362,-5
661.3763,-554.9399,-5
662.3052,-554.9448,-5
663.2343,-554.9509,-5
664.1637,-554.9582,-5
665.0933,-554.9666,-5
666.0233,-554.9761,-5
666.9536,-554.9867,-5
667.8844,-554.9984,-5
668.8156,-555.0111,-5
669.7473,-555.0248,-5
670.6795,-555.0395,-5
671.6124,-555.0552,-5
672.5458,-555.0718,-5
673.4799,-555.0894,-5
674.4147,-555.1078,-5
675.3502,-555.1271,-5
676.2866,-555.1473,-5
677.2237,-555.1682,-5
678.1617,-555.19,-5
679.1006,-555.2125,-5
680.0405,-555.2358,-5
680.9814,-555.2598,-5
681.9233,-555.2845,-5
682.8662,-555.3098,-5
683.8103,-555.3358,-5
684.7555,-555.3625,-5
685.7019,-555.3897,-5
686.6495,-555.4175,-5
687.5985,-555.4459,-5
688.5487,-555.4747,-5
689.5003,-555.5041,-5
690.4533,-555.534,-5
691.4077,-555.5643,-5
692.3636,-555.595,-5
693.3211,-555.6262,-5
694.2801,-555.6577,-5
695.2407,-555.6896,-5
696.2029,-555.7218,-5
697.1669,-555.7543,-5
698.1325,-555.7871,-5
699.1,-555.8201,-5
700.0692,-555.8534,-5
701.0403,-555.8869,-5
702.0133,-555.9205,-5
702.9879,-555.9539,-5
703.964,-555.9864,-5
704.941,-556.0175,-5
705.9188,-556.0465,-5
706.897,-556.0728,-5
707.8752,-556.0959,-5
708.8533,-556.1151,-5
709.8307,-556.1298,-5
710.8074,-556.1394,-5
711.7828,-556.1433,-5
712.7567,-556.1409,-5
713.7288,-556.1315,-5
714.6987,-556.1147,-5
715.6662,-556.0898,-5
716.6309,-556.0561,-5
717.5925,-556.0131,-5
718.5507,-555.9601,-5
719.5051,-555.8966,-5
720.4555,-555.822,-5
721.4015,-555.7356,-5
722.3428,-555.6369,-5
723.2791,-555.5252,-5
724.21,-555.3999,-5
725.1353,-555.2605,-5
726.0547,-555.1062,-5
726.9677,-554.9366,-5
727.8741,-554.751,-5
728.7736,-554.5488,-5
729.6659,-554.3294,-5
730.5506,-554.0923,-5
731.4278,-553.8375,-5
732.2976,-553.5654,-5
733.1601,-553.2764,-5
734.0155,-552.9706,-5
734.8638,-552.6486,-5
735.7052,-552.3105,-5
736.5398,-551.9568,-5
737.3678,-551.5877,-5
738.1892,-551.2036,-5
739.0041,-550.8049,-5
739.8127,-550.3917,-5
740.6152,-549.9646,-5
741.4116,-549.5237,-5
742.202,-549.0694,-5
742.9866,-548.6021,-5
743.7655,-548.1221,-5
744.5388,-547.6297,-5
745.3066,-547.1253,-5
746.0691,-546.6091,-5
746.8263,-546.0814,-5
747.5785,-545.5428,-5
748.3257,-544.9933,-5
749.068,-544.4335,-5
749.8055,-543.8635,-5
750.5385,-543.2838,-5
751.2669,-542.6946,-5
751.991,-542.0964,-5
752.7108,-541.4893,-5
753.4265,-540.8738,-5
754.1382,-540.2502,-5
754.8459,-539.6188,-5
755.5499,-538.9799,-5
756.2503,-538.3339,-5
756.9471,-537.6811,-5
757.6405,-537.0218,-5
758.3306,-536.3563,-5
759.0175,-535.685,-5
759.7014,-535.0082,-5
760.3824,-534.3262,-5
761.0605,-533.6394,-5
761.736,-532.9481,-5
762.4089,-532.2526,-5
763.0794,-531.5532,-5
763.7475,-530.8504,-5
764.4135,-530.1443,-5
765.0773,-529.4353,-5
765.7392,-528.7238,-5
766.3993,-528.0101,-5
767.0576,-527.2945,-5
767.7143,-526.5773,-5
768.3696,-525.8589,-5
769.0235,-525.1396,-5
769.6762,-524.4197,-5
770.3278,-523.6996,-5
770.9783,-522.9795,-5
771.628,-522.2599,-5
772.277,-521.541,-5
772.9253,-520.8232,-5
773.5731,-520.1067,-5
774.2203,-519.3918,-5
774.8667,-518.6783,-5
775.5119,-517.9661,-5
776.1557,-517.2551,-5
776.7977,-516.5451,-5
777.4377,-515.8361,-5
778.0753,-515.1279,-5
778.7103,-514.4205,-5
779.3424,-513.7136,-5
779.9713,-513.0072,-5
780.5966,-512.3011,-5
781.2182,-511.5953,-5
781.8356,-510.8897,-5
782.4486,-510.184,-5
783.057,-509.4782,-5
783.6603,-508.7722,-5
784.2583,-508.0658,-5
784.8508,-507.3589,-5
785.4374,-506.6515,-5
786.0178,-505.9434,-5
786.5917,-505.2344,-5
787.1589,-504.5245,-5
787.719,-503.8136,-5
788.2718,-503.1015,-5
788.8169,-502.3881,-5
789.354,-501.6732,-5
789.8829,-500.9569,-5
790.4033,-500.2389,-5
790.9149,-499.5191,-5
791.4173,-498.7975,-5
791.9103,-498.0739,-5
792.3937,-497.3481,-5
792.8681,-496.62,-5
793.3346,-495.8893,-5
793.7941,-495.1557,-5
794.2475,-494.419,-5
794.6958,-493.6789,-5
795.1399,-492.9352,-5
795.5809,-492.1877,-5
796.0197,-491.436,-5
796.4572,-490.6799,-5
796.8945,-489.9192,-5
797.3324,-489.1536,-5
797.7719,-488.3828,-5
798.2141,-487.6067,-5
798.6598,-486.8248,-5
799.1101,-486.0371,-5
799.5658,-485.2432,-5
800.028,-484.4429,-5
800.4976,-483.6359,-5
800.9755,-482.822,-5
801.4628,-482.0009,-5
801.9604,-481.1723,-5
802.4693,-480.3361,-5
802.9903,-479.4919,-5
803.5246,-478.6395,-5
804.073,-477.7787,-5
804.6365,-476.9091,-5
805.2161,-476.0306,-5
805.8127,-475.1429,-5
806.4273,-474.2457,-5
807.0608,-473.3387,-5
807.7143,-472.4218,-5
808.3886,-471.4947,-5
809.0848,-470.557,-5
809.8038,-469.6086,-5
810.5459,-468.6499,-5
811.3087,-467.6836,-5
812.0896,-466.7132,-5
812.8855,-465.742,-5
813.6936,-464.7734,-5
814.511,-463.8108,-5
815.335,-462.8576,-5
816.1625,-461.9171,-5
816.9907,-460.9928,-5
817.8168,-460.088,-5
818.6379,-459.2061,-5
819.451,-458.3505,-5
820.2535,-457.5246,-5
821.0423,-456.7317,-5
821.8146,-455.9753,-5
822.5676,-455.2587,-5
823.2983,-454.5853,-5
824.0039,-453.9586,-5
824.6816,-453.3817,-5
825.3284,-452.8583,-5
825.9415,-452.3916,-5
826.518,-451.985,-5
827.0551,-451.6419,-5
827.5499,-451.3657,-5
827.9994,-451.1598,-5
828.4009,-451.0276,-5
828.7515,-450.9724,-5
829.0483,-450.9976,-5
829.2884,-451.1066,-5
829.469,-451.3028,-5
829.5874,-451.5892,-5
829.6445,-451.9632,-5
829.6434,-452.4183,-5
829.5874,-452.9481,-5
829.4798,-453.546,-5
829.3238,-454.2055,-5
829.1227,-454.9201,-5
828.8796,-455.6832,-5
828.598,-456.4883,-5
828.281,-457.3288,-5
827.932,-458.1984,-5
827.554,-459.0905,-5
827.1506,-460.0007,-5
826.7251,-460.9262,-5
826.2809,-461.8641,-5
825.8214,-462.8113,-5
825.35,-463.7652,-5
824.8702,-464.7227,-5
824.3853,-465.681,-5
823.8987,-466.6372,-5
823.4139,-467.5883,-5
822.9343,-468.5316,-5
822.4633,-469.4641,-5
822.0036,-470.3835,-5
821.5557,-471.2905,-5
821.119,-472.1865,-5
820.6932,-473.0728,-5
820.2776,-473.951,-5
819.8719,-474.8224,-5
819.4757,-475.6885,-5
819.0884,-476.5507,-5
818.7095,-477.4105,-5
818.3388,-478.2692,-5
817.9755,-479.1284,-5
817.6195,-479.9892,-5
817.2705,-480.8519,-5
816.9286,-481.7165,-5
816.5938,-482.5831,-5
816.2661,-483.4516,-5
815.9454,-484.3221,-5
815.6318,-485.1945,-5
815.3253,-486.0689,-5
815.0258,-486.9453,-5
814.7334,-487.8236,-5
814.448,-488.7039,-5
814.1697,-489.5862,-5
813.8985,-490.4705,-5
813.6342,-491.3568,-5
813.3771,-492.2451,-5
813.1269,-493.1355,-5
812.8838,-494.0278,-5
812.6477,-494.9222,-5
812.4187,-495.8186,-5
812.1967,-496.717,-5
811.9817,-497.6175,-5
811.7738,-498.5201,-5
811.5728,-499.4246,-5
811.3789,-500.3313,-5
811.192,-501.24,-5
811.0121,-502.1508,-5
810.8392,-503.0637,-5
810.6733,-503.9787,-5
810.5144,-504.8958,-5
